,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
2FBD_M7_Days in Period,14,,225,,,,,,,,,22,,,,,,38,9,,34,,,,,,,,,,,,,,,,,11,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
2FBD_M7_Fuel Cost,"$1,155",,"$2,724",,,,,,,,,$538,,,,,,$839,$969,,$446,,,,,,,,,,,,,,,,,"$1,423",,,"$1,020",,,,,,,,,,,,,,,,,,,,,,,,,,$568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,950",,,,,
2FBD_M7_OilUsage(Gallons),350,,860,,,,,,,,,134,,,,,,305,351,,178,,,,,,,,,,,,,,,,,425,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,
2FBD_M7_Period Ending,5/5/14,,11/7/14,,,,,,,,,5/7/14,,,,,,4/18/15,2/10/15,,4/15/15,,,,,,,,,,,,,,,,,1/29/15,,,11/26/14,,,,,,,,,,,,,,,,,,,,,,,,,,10/26/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/30/14,,,,,
2FBD_M7_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FBD_M8_Days in Period,165,,38,,,,,,,,,148,,,,,,,11,,,,,,,,,,,,,,,,,,,10,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,
2FBD_M8_Fuel Cost,$944,,"$1,786",,,,,,,,,$354,,,,,,,"$1,254",,,,,,,,,,,,,,,,,,,"$1,580",,,"$1,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,200",,,,,
2FBD_M8_OilUsage(Gallons),300,,635,,,,,,,,,93,,,,,,,400,,,,,,,,,,,,,,,,,,,427,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,
2FBD_M8_Period Ending,10/17/14,,12/15/14,,,,,,,,,10/2/14,,,,,,,2/21/15,,,,,,,,,,,,,,,,,,,2/8/15,,,12/26/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/14,,,,,
2FBD_M8_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FBD_M9_Days in Period,18,,25,,,,,,,,,43,,,,,,,12,,,,,,,,,,,,,,,,,,,11,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
2FBD_M9_Fuel Cost,$945,,"$1,317",,,,,,,,,$511,,,,,,,$976,,,,,,,,,,,,,,,,,,,"$2,082",,,"$1,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,170",,,,,
2FBD_M9_OilUsage(Gallons),300,,534,,,,,,,,,142,,,,,,,301,,,,,,,,,,,,,,,,,,,548,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,
2FBD_M9_Period Ending,11/4/14,,1/9/15,,,,,,,,,11/14/14,,,,,,,3/5/15,,,,,,,,,,,,,,,,,,,2/19/15,,,1/26/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/15/14,,,,,
