,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
SRECM_Lighting Upgrades_Estimated InstallationCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighting Upgrades,,,,,,,,,,,,,,,,,,Lighting Upgrades,,,,,Lighting Upgrades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Lighting Upgrades_Estimated NYSERDA Incentives,,,,,,,,,,"$2,295","$12,359","$5,500",,"$6,175",,,,,,,,"$4,331",,,,,,"$16,442",,"$1,790",,,,,,,,,,"$2,300",,"$2,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Lighting Upgrades_Life-Cycle Cost Savings,,,,,,,,,,2.16,0.79,2.50,,2.41,,,,,,,,0.82,,,,,,1.58,,2.79,,0.50,9.30,4.06,,,,,,3.73,,3.81,2.18,5.48,,2.26,5.04,,,,7.71,,5.88,,,4.51,0.98,,,,1.31,0.69,,,3.04,,,,,,,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Lighting Upgrades_Life-Cycle Cost Savings After Incentives,,,,,,,,,,1.37,0.59,2.06,,1.81,,,,,,,,0.61,,,,,,1.46,,2.79,,,,,,,,,,2.85,,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Lighting Upgrades_S imple Payback (Years),,,,,,,,,,,"$1,385",,,$846,,,,,,,,$487,,,,,,,,$258,,$503,$494,$878,,,,,,$385,,$393,"$1,234",$46,,"$1,485",$600,,,,$249,,"$1,143",,,"$1,268",$411,,,,$237,$578,,,$273,,,,,,,$382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Lighting Upgrades_S imple Payback After Incentive (Years),,,,,,,,,,,$280,,,$510,,,,,,,,$100,,,,,,,,$0,,,,,,,,,,$340,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Lighting Upgrades_Simple Payback (Years),,,,,,,,,,$304,,$769,,,,,,,,,,,,,,,,"$2,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Lighting Upgrades_Simple Payback After Incentive (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,$245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Lighting Upgrades_Simple Payback After Incentive(Years),,,,,,,,,,$240,,$340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Annual Electric Savings(kWh),,,,,,,,,,,,,,,,,,,,,,,,$25,,$10,$30,$15,,,,$10,$15,$25,$25,,,,,,$15,,$10,,$50,,,$15,,,,$35,,$20,,$30,$10,$50,,$65,$55,,,,,,$25,$45,,$15,,$20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Annual Gas Savings(Therms),,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,0,0,0,0,,,,,,0,,0,,0,,,0,,,0,0,,222,,0,0,0,,0,0,,,,,,0,0,,0,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Annual Oil Savings(Gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,19.6,,,,,,,,,,,30.5,,0.0,,6.8,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Estimated Annual $ Savings,,,,,,,,,,,,,,,,,,,,,,,,43.1,,107,47.6,6.2,,,,17.0,0.0,25.2,43.5,,,,,,0.0,,10.6,,23.3,,,15.4,,,19.3,0.0,,0.0,,0.0,19.3,59.8,,78.8,42.0,,,,,,0.0,48.2,,6.2,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Estimated Installation Cost,,,,,,,,,,,,,,,,,,,,,,,,Low Flow Aerators,,Low Flow Aerators,Low Flow Aerators,Low Flow Aerators,,,,Low Flow Aerators,,Low Flow Aerators,Low Flow Aerators,,,,,,Low Flow Aerators,,Low Flow Aerators,,Low Flow Aerators,,,Low Flow Aerators,,,,Low Flow Aerators,,Low Flow Aerators,,,Low Flow Aerators,Low Flow Aerators,,Low Flow Aerators,Low Flow Aerators,,,,,,Low Flow Aerators,Low Flow Aerators,,Low Flow Aerators,,Low Flow Aerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Estimated InstallationCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Flow Aerators,,,,,,,,,,,,,,,,,,Low Flow Aerators,,,,,Low Flow Aerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Estimated NYSERDA Incentives,,,,,,,,,,,,,,,,,,,,,,,,$257,,$183,$339,$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Life-Cycle Cost Savings,,,,,,,,,,,,,,,,,,,,,,,,0.65,,0.38,0.60,2.68,,,,0.55,1.39,1.09,0.70,,,,,,0.56,,0.98,,2.03,,,0.71,,,0.69,1.10,,0.38,,3.57,0.51,0.68,,0.83,1.27,,,,,,1.44,0.85,,1.88,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Life-Cycle Cost Savings After Incentives,,,,,,,,,,,,,,,,,,,,,,,,0.65,,0.38,0.60,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_S imple Payback (Years),,,,,,,,,,,,,,,,,,,,,,,,,,$26,$50,,,,,$18,$11,$23,,,,,,,,,$10,,$25,,,$21,,,$22,,,,,$8,$19,$74,,$79,$43,,,,,,$17,$53,,$8,,$16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_S imple Payback After Incentive (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_S imple Payback After Incentive(Years),,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Simple Payback (Years),,,,,,,,,,,,,,,,,,,,,,,,$38,,,,$6,,,,,,,$36,,,,,,$27,,,,,,,,,,,$32,,$53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Simple Payback After Incentive (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Aerators_Simple Payback After Incentive(Years),,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_Annual Electric Savings(kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_Annual Gas Savings(Therms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_Estimated Annual $ Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_Estimated Installation Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Flow Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_Estimated NYSERDA Incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_Life-Cycle Cost Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_Life-Cycle Cost Savings After Incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_S imple Payback (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Devices_S imple Payback After Incentive (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_Annual Electric Savings(kWh),,,,,,,,,$150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_Annual Gas Savings(Therms),,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_Estimated Annual $ Savings,,,,,,,,,197.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_Estimated Installation Cost,,,,,,,,,Low Flow Hot Water Device Installations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_Estimated NYSERDA Incentives,,,,,,,,,"$1,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_Life-Cycle Cost Savings,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_Life-Cycle Cost Savings After Incentives,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_S imple Payback (Years),,,,,,,,,$162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Device Installations_S imple Payback After Incentive (Years),,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_Annual Electric Savings(kWh),,,,,,,,,,,,,,,,,,,,,,$30,,,,,,,$20,,$65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_Annual Gas Savings(Therms),,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_Estimated Annual $ Savings,,,,,,,,,,,,,,,,,,,,,,64.9,,,,,,,5.5,,115.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_Estimated Installation Cost,,,,,,,,,,,,,,,,,,,,,,Low Flow Hot Water Devices,,,,,,,Low Flow Hot Water Devices,,Low Flow Hot Water Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_Estimated NYSERDA Incentives,,,,,,,,,,,,,,,,,,,,,,$490,,,,,,,$16,,$696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_Life-Cycle Cost Savings,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,4.05,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_Life-Cycle Cost Savings After Incentives,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,4.05,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_S imple Payback (Years),,,,,,,,,,,,,,,,,,,,,,$71,,,,,,,$5,,$103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Hot Water Devices_S imple Payback After Incentive (Years),,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,$0,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerator_Annual Electric Savings(kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerator_Annual Gas Savings(Therms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerator_Estimated Annual $ Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerator_Estimated Installation Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Flow Sink Aerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerator_Life-Cycle Cost Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerator_S imple Payback (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Annual Electric Savings(kWh),$55,,$15,,,,,,,,,$20,,$15,,,$25,$20,,$20,,,,,,,,,,,,,,,,,,,$10,$15,,,,$10,,,$15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Annual Gas Savings(Therms),0,,0,,,,,,,,,0,,0,,,0,0,,0,,,,,,,,,,,,,,,,,,,164,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Annual Oil Savings(Gallons),181.4,,31.2,,,,,,,,,17.7,,,,,,28.3,,10.7,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Estimated Annual $ Savings,0.0,,0.0,,,,,,,,,0.0,,18.7,,,52.9,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,8.9,,,,4.7,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Estimated Installation Cost,Low Flow Sink Aerators,,Low Flow Sink Aerators,,,,,,,,,Low Flow Sink Aerators,,Low Flow Sink Aerators,,,Low Flow Sink Aerators,Low Flow Sink Aerators,,Low Flow Sink Aerators,,,,,,,,,,,,,,,,,,,Low Flow Sink Aerators,Low Flow Sink Aerators,,,,Low Flow Sink Aerators,,,Low Flow Sink Aerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Estimated NYSERDA Incentives,"$2,384",,$382,,,,,,,,,$208,,$106,,,$565,$685,,$117,,,,,,,,,,,,,,,,,,,$428,$193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Life-Cycle Cost Savings,0.17,,0.28,,,,,,,,,0.65,,0.91,,,0.31,0.21,,0.50,,,,,,,,,,,,,,,,,,,0.17,0.53,,,,2.53,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Life-Cycle Cost Savings After Incentives,0.17,,0.28,,,,,,,,,0.65,,0.91,,,0.31,0.21,,0.50,,,,,,,,,,,,,,,,,,,0.17,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_ROI AfterIncentives,,,,,,,,,,,,,,,,,$565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_S imple Payback (Years),,,$54,,,,,,,,,,,$16,,,$80,$96,,$40,,,,,,,,,,,,,,,,,,,$60,$28,,,,$4,,,$81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_S imple Payback After Incentive (Years),,,$0,,,,,,,,,,,$0,,,$0,$0,,$0,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Simple Payback (Years),$331,,,,,,,,,,,$31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low Flow Sink Aerators_Simple Payback After Incentive(Years),$0,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Low-flow faucet aerators_Annual Electric Savings(kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10,,,,
SRECM_Low-flow faucet aerators_Annual Oil Savings(Gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
SRECM_Low-flow faucet aerators_Cost-Weighted Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,
SRECM_Low-flow faucet aerators_Estimated Annual $ Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,
SRECM_Low-flow faucet aerators_Estimated Installation Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low-flow faucet aerators,,,,
SRECM_Low-flow faucet aerators_Estimated NYSERDA Incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$57,,,,
SRECM_Low-flow faucet aerators_Life-Cycle Cost Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
SRECM_Low-flow faucet aerators_Life-Cycle Cost Savings After Incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,
SRECM_Low-flow faucet aerators_Simple Payback (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9,,,,
SRECM_Low-flow faucet aerators_Simple Payback After Incentive(Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
SRECM_Motor Replacement & VFD Installation_Annual Electric Savings(kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement & VFD Installation_Annual Gas Savings(Therms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement & VFD Installation_Estimated Annual $ Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement & VFD Installation_Estimated Installation Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Replacement & VFD Installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement & VFD Installation_Life-Cycle Cost Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement & VFD Installation_S imple Payback (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement_Annual Electric Savings(kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement_Annual Gas Savings(Therms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement_Estimated Annual $ Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement_Estimated Installation Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Replacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRECM_Motor Replacement_Estimated NYSERDA Incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
